obsname,well_id,layer,row,col,land_elev_m,SWL_m,obs_head_m
obs_000079,130942,0,1180,922,309.12796021,8.2296,300.89836021
obs_000080,RI313,0,1002,401,241.05722046,9.144,231.91322046
obs_000081,395437,0,1147,649,256.36569214,7.010400000000001,249.35529214000002
obs_000082,7224619,0,866,1103,189.33081055,0.0,189.33081055
obs_000083,6921740,0,824,1096,224.74691772,3.699991017150879,221.0469267028491
obs_000084,2014580,0,1162,976,322.17474365,11.5824,310.59234365
obs_000085,46000008920,0,1065,722,304.01544189,1.524,302.49144189
obs_000086,14000002679,0,1068,566,233.46899414,7.62,225.84899414
obs_000087,GC696,0,630,297,483.77908325,17.0688,466.71028325
obs_000088,7203708,0,911,981,362.77978516,0.0,362.77978516
obs_000089,AF991,0,783,345,258.6072998,4.572,254.03529980000002
obs_000090,6604598,0,954,1131,187.25897217,0.0,187.25897217
obs_000091,11000002023,0,1074,532,196.85180664,2.7432000000000003,194.10860664
obs_000092,3302457,0,1016,869,174.84500122,2.39999435005188,172.44500686994812
obs_000093,45000005172,0,756,580,330.96054077,3.048,327.91254077
obs_000094,69000000331,0,739,699,414.96810913,27.127200000000002,387.84090913
obs_000095,7186326,0,847,1132,129.87275696,0.0,129.87275696
obs_000096,53000004364,0,840,554,206.54249573,3.6576000000000004,202.88489573
obs_000097,2705945,0,729,1153,277.95742798,0.0,277.95742798
obs_000098,CE544,0,724,481,233.67909241,31.0896,202.58949241000002
obs_000099,34000000974,0,974,640,256.04663086,3.048,252.99863086
obs_000100,129049,0,1127,963,358.39273071,5.486400000000001,352.90633071
obs_000101,1904016,0,829,1158,238.16018677,2.9999927558898927,235.1601940141101
obs_000102,274381,0,1103,962,217.08644104,0.762,216.32444104
obs_000103,39000000658,0,1031,624,272.47253418,1.8288000000000002,270.64373418
obs_000104,4605616,0,820,1121,297.66375732,13.69996725769043,283.96379006230956
obs_000105,5704752,0,790,1077,274.23522949,22.899944073486328,251.33528541651367
obs_000106,7181615,0,871,1110,112.83528137,0.0,112.83528137
obs_000107,5720434,0,831,1069,237.31846619,0.0,237.31846619
obs_000108,QI404,0,819,263,278.62011719,3.3528000000000002,275.26731718999997
obs_000109,59000007682,0,929,634,267.19549561,6.7056000000000004,260.48989561
obs_000110,70000008776,0,949,565,191.86816406,1.8288000000000002,190.03936406
obs_000111,374491,0,1116,591,251.79527283,9.144,242.65127282999998
obs_000112,55000003055,0,644,477,247.24536133,4.572,242.67336133
obs_000113,63000004964,0,996,772,313.21609497,5.1816,308.03449496999997
obs_000114,UX988,0,655,300,468.89526367,7.9248,460.97046367
obs_000115,OA710,0,974,370,276.11355591,7.010400000000001,269.10315591
obs_000116,75000010228,0,1080,628,264.88317871,1.524,263.35917871
obs_000117,390962,0,1154,609,284.90643311,10.972800000000001,273.93363311
obs_000118,2043961,0,1132,914,230.10548401,0.0,230.10548401
obs_000119,NJ454,0,636,302,500.39755249,15.8496,484.54795249
obs_000120,5705404,0,811,1094,219.77069092,0.8999978267669678,218.87069309323303
obs_000121,301679,0,1103,592,261.97662354,21.945600000000002,240.03102353999998
obs_000122,336345,0,1176,948,318.41802979,15.24,303.17802979
obs_000123,23000005270,0,1003,665,265.6192627,8.8392,256.7800627
obs_000124,2025705,0,1111,781,186.57479858,0.0,186.57479858
obs_000125,7152011,0,872,1113,90.11671448,0.0,90.11671448
obs_000126,6926812,0,840,1103,302.71826172,0.0,302.71826172
obs_000127,74703,0,1122,587,252.71221924,9.144,243.56821924
obs_000128,375101,0,1167,963,340.88064575,9.7536,331.12704575
obs_000129,4115764,0,959,956,248.30278015,0.0,248.30278015
obs_000130,7227788,0,869,1100,122.73078918,0.0,122.73078918
obs_000131,2903090,0,798,1264,105.15050507,1.19999717502594,103.95050789497405
obs_000132,23000004374,0,1001,683,278.51879883,4.572,273.94679883
obs_000133,4107570,0,949,936,239.79281616,4.5999886985778815,235.19282746142213
obs_000134,19000005350,0,947,688,223.78883362,4.572,219.21683362
obs_000135,3708736,0,799,1295,75.04518127,1.19999717502594,73.84518409497406
obs_000136,241005,0,1116,588,244.89053345,4.572,240.31853345
obs_000137,44116,0,1108,473,186.41946411,1.8288000000000002,184.59066411
obs_000138,6931094,0,802,1098,219.42311096,0.0,219.42311096
obs_000139,70000005903,0,958,569,191.29649353,1.2192,190.07729353
obs_000140,6414203,0,809,1167,345.95095825,0.0,345.95095825
obs_000141,6901404,0,796,1119,219.44052124,6.099985221862793,213.34053601813721
obs_000142,UO819,0,624,294,494.00204468,5.1816,488.82044468
obs_000143,448261,0,1180,963,355.27108765,3.9624,351.30868765
obs_000144,4405297,0,965,1029,244.40663147,2.9999927558898927,241.4066387141101
obs_000145,7183756,0,901,1036,311.42630005,0.0,311.42630005
obs_000146,61000004197,0,1051,768,243.74951172,9.7536,233.99591171999998
obs_000147,4107648,0,956,952,269.32461548,6.099985221862793,263.2246302581372
obs_000148,316406,0,1110,495,210.08123779,3.9624,206.11883779
obs_000149,4510203,0,815,1199,194.88591003,0.299999293756485,194.5859107362435
obs_000150,7231891,0,846,1119,210.17427063,0.0,210.17427063
obs_000151,7176447,0,868,1108,158.865448,4.79998870010376,154.06545929989622
obs_000152,SZ296,0,993,365,300.51748657,25.2984,275.21908657
obs_000153,7104586,0,896,1044,330.93365479,2.1999947845458987,328.7336600054541
